
   jQuery插件库   

   http://www.jq22.com 

   找的更少，做的更多！ jQuery插件库只为您提供最好的！
		
参数解析

参数	类型	说明	示例值
$(this)	DOM	当前轮播图（$('.slide-box')）外层的包裹的DOM节点，可自定义标签，Dom节点操作沿袭jquery的Dom节点操作。详见demo	$("#demo").setSlide()
isBlock	boolean	（非必填）定义幻灯片是否为块状展示该幻灯片。默认为false	true
fullScreenw	boolean	（非必填）宽度完全全屏，轮播图宽度为整个屏幕宽度。注意：当设置该参数为true时，slideLiw参数无效。默认为false	true
fullScreenh	boolean	（非必填）高度完全全屏，轮播图高度为整个屏幕高度。注意：当设置该参数为true时，slideLih参数无效。默认为false	true
switchingSpeed	number	（非必填）定义轮播图切换速度的毫秒数。如若为空，默认自动播放时间为600毫秒	800
slideTime	number	（非必填）定义轮播图自动播放的毫秒数，只有开启autoPlay属性时有效。如若为空，默认自动播放时间为3000毫秒	2000
autoPlay	boolean	（非必填）是否自动切换，默认为false	true
prevEl	DOM	（非必填）点击轮播图切换到上一张，可自定义标签，Dom节点操作沿袭jquery的Dom节点操作，默认为$('#slide-button-prev')。注意：如若使用默认标签，id只能单次调用。如果第一张操作时候便跳到最后一张。默认上一页样式：<div class="slide-page"><div class="slide-button-prev"><i></i></div></div>	$('.slide-button-prev')
nextEl	DOM	（非必填）点击轮播图切换到下一张，可自定义标签，Dom节点操作沿袭jquery的Dom节点操作，默认为$('#slide-button-next')。注意：如若使用默认标签，id只能单次调用。如果最后一张操作时候便跳到第一张。默认下一页样式：<div class="slide-page"><div class="slide-button-next"><i></i></div></div>	$('.slide-button-prev')
pagination	boolean	（非必填）是否使用分页导航，只有开启autoPlay属性时有效。默认为false	true
pagingTrigger	string	（非必填）分页导航指示器的触发事件，默认为click	'hover'
slideLiw	number	（非必填）设定轮播容器宽度，默认单位为px，无需加单位。默认为1200	1000
slideLih	number	（非必填）设定轮播容器高度，默认单位为px，无需加单位。默认为600	500
fn	Object	（非必填） 回调函数，可以在当轮播图切换时，拿到当前轮播图的索引值并在该时刻进行回调的操作。与一般函数写法相同，索引值可传可不传。	function(index) {} 或 function() {}
